"상품군별","판매매체별",2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09 p),2022.10 p)
"화장품","모바일쇼핑",380746,428550,361445,331769,360424,378115,360699,372187,385834,366559,434703,412990,434948,429497,439877,438758,457152,439341,443006,459509,456801,492829,512836,520553,572616,561471,609446,579626,593608,569708,589441,606331,618749,655866,680151,700083,650355,618432,445832,359957,408331,412807,405033,406599,449033,451608,495195,541375,518971,483237,534811,529862,556975,537055,529846,561889,583286,550478,627998,684940,656242,641766,675007,616172,692353,644917,614927,645563,647658,645831
"아동·유아용품","계",259790,262204,300200,293596,274565,259069,264579,263530,272277,260541,299591,377236,295195,268618,298883,320420,310798,271934,287390,275805,273741,308862,310073,393574,313678,286419,337553,354227,347942,303935,318267,308960,325269,349396,361415,442747,333993,388785,409251,401212,406758,368831,376166,369151,386595,390184,398816,526760,400873,368315,421935,431083,428884,383380,403388,379350,383288,411147,421737,550714,392897,389528,441850,467678,453114,401753,405737,411023,399680,425385
"아동·유아용품","인터넷쇼핑",76647,81434,95343,90564,76554,75478,72696,72846,75971,70801,84549,104274,75872,71246,84298,85677,85549,72371,72132,68243,68616,77542,79117,100708,75693,69315,81126,96255,89934,75393,81422,75234,80547,84728,84398,108853,72913,81789,83675,92023,86362,78369,81839,72777,80320,80801,90984,115200,76521,70253,82214,84967,79405,72304,74714,69458,68650,79438,85677,112892,67921,59535,72136,83207,72410,62781,59671,65637,65027,79814
"아동·유아용품","모바일쇼핑",183143,180770,204856,203032,198011,183591,191882,190684,196306,189740,215042,272962,219323,197372,214584,234743,225249,199563,215258,207562,205124,231320,230956,292866,237986,217104,256428,257972,258008,228542,236846,233726,244722,264669,277017,333894,261080,306996,325576,309189,320396,290462,294327,296374,306275,309383,307832,411560,324352,298062,339722,346116,349479,311076,328674,309892,314639,331708,336060,437822,324975,329993,369713,384470,380704,338972,346066,345386,334654,345571
"음·식료품","계",675851,573082,641671,652914,633354,641593,638176,692641,827851,608615,701590,709684,846822,814658,826873,810015,849044,811245,866906,905132,1000055,910407,927668,925608,1193353,867434,1027271,1058853,1111609,1040151,1092958,1215522,1233759,1190483,1198157,1217181,1401552,1468975,1627809,1509770,1462526,1424733,1569245,1627996,2005192,1640166,1753375,2012854,2111021,1847913,1944814,1932332,1984663,1903169,2021075,2098970,2204911,2002362,2047008,2196710,2471824,2064860,2396300,2249863,2316426,2224985,2264884,2668300,2398747,2263705
"음·식료품","인터넷쇼핑",281528,223285,249069,266606,239172,243369,233432,254664,316807,216216,253308,258055,286550,296445,292272,284398,295067,277793,298775,301451,350883,298644,306595,315251,397250,274273,330978,348841,364339,336297,358010,407028,410214,363472,359235,376396,405023,401037,426110,405679,378213,390146,422976,414896,558260,430377,473006,527402,538740,478391,494532,498446,511403,501952,528411,548595,571371,514537,517773,545216,643681,466220,566100,553386,567566,543249,541155,673057,591714,601212
"음·식료품","모바일쇼핑",394322,349797,392601,386307,394181,398224,404744,437977,511044,392399,448282,451629,560272,518213,534601,525617,553977,533452,568131,603681,649172,611763,621073,610357,796103,593161,696293,710012,747270,703854,734948,808494,823544,827011,838922,840785,996530,1067937,1201699,1104091,1084314,1034587,1146269,1213101,1446932,1209789,1280369,1485452,1572281,1369522,1450282,1433886,1473260,1401216,1492665,1550375,1633540,1487825,1529235,1651494,1828142,1598640,1830200,1696476,1748860,1681736,1723729,1995243,1807033,1662493
"농축수산물","계",259029,167546,194150,176139,175762,180848,182683,194090,288964,174780,208744,221852,251910,289778,228800,215400,221735,214272,224230,235082,310020,238060,256669,254558,413272,231118,278404,286290,285288,269840,282677,321530,374542,313056,325846,341186,450441,438865,494492,443347,394615,393743,436060,472981,689624,466870,485990,625540,694074,609488,555998,537899,553816,522381,557706,602543,721263,553521,556453,651269,875311,572388,704587,631379,623154,595478,606572,746551,704291,611992
"농축수산물","인터넷쇼핑",116799,66964,72315,65812,63704,66113,64551,68512,122538,67310,76101,75792,83591,116806,76413,71138,73233,69204,74924,74292,126449,79931,85916,80784,143447,66686,85583,90963,88609,79003,83075,104335,126828,88826,94042,99393,162219,135947,126509,115011,100988,117419,138365,133228,209930,121772,136546,168884,174795,162402,134616,125689,125639,123152,130523,140588,191882,134678,131521,149190,224961,112437,177148,164160,168499,161293,156316,199303,171654,171525
"농축수산물","모바일쇼핑",142230,100582,121835,110327,112058,114736,118131,125578,166426,107471,132643,146060,168319,172972,152387,144262,148502,145068,149306,160790,183571,158130,170752,173774,269825,164432,192821,195328,196679,190836,199602,217195,247714,224229,231804,241793,288222,302918,367983,328335,293627,276324,297694,339753,479694,345098,349445,456656,519279,447085,421382,412209,428177,399229,427182,461955,529380,418843,424932,502079,650350,459951,527439,467219,454654,434185,450256,547248,532637,440467
