diet_type,cost
current,63.54705093773429
current,65.58917512573306
current,8.928960798628149
current,10.971084986626918
current,62.70820211302758
current,64.75032630102635
current,11.99608778124458
current,14.03821196924335
current,65.77532909564401
current,67.81745328364278
current,10.767528202964625
current,12.809652390963395
current,64.54676951736405
current,66.58889370536284
current,9.928679378257916
current,11.970803566256686
current,63.70792069265735
current,65.75004488065612
current,12.995806360874349
current,15.037930548873119
current,66.77504767527378
current,68.81717186327255
current,11.180399778499906
current,13.222523966498676
current,64.95964109289935
current,67.00176528089811
current,10.341550953793197
current,12.383675141791967
current,64.12079226819263
current,66.1629164561914
current,13.40867793640963
current,15.4508021244084
current,67.18791925080906
current,69.23004343880783
current,18.080662360205878
current,20.122786548204644
current,71.8599036746053
current,73.90202786260407
current,17.241813535499173
current,19.28393772349794
current,71.0210548498986
current,73.06317903789737
current,20.3089405181156
current,22.351064706114368
current,74.08818183251503
current,76.1303060205138
current,11.494479104236861
current,13.53660329223563
current,65.2737204186363
current,67.31584460663507
current,10.655630279530152
current,12.697754467528922
current,64.43487159392959
current,66.47699578192835
current,13.722757262146585
current,15.764881450145355
current,67.50199857654601
current,69.54412276454478
current,12.294477111970458
current,14.336601299969228
current,66.0737184263699
current,68.11584261436866
current,11.455628287263751
current,13.497752475262521
current,65.23486960166319
current,67.27699378966196
current,14.522755269880184
current,16.564879457878952
current,68.30199658427962
current,70.34412077227839
current,12.698818194564657
current,14.740942382563427
current,66.4780595089641
current,68.52018369696286
current,11.85996936985795
current,13.90209355785672
current,65.63921068425738
current,67.68133487225614
current,14.927096352474381
current,16.96922054047315
current,68.70633766687382
current,70.74846185487259
current,13.606279287022447
current,15.648403475021217
current,67.38552060142187
current,69.42764478942064
current,12.767430462315739
current,14.809554650314508
current,66.54667177671517
current,68.58879596471394
current,15.834557444932171
current,17.87668163293094
current,69.6137987593316
current,71.65592294733037
current,13.699534498201993
current,15.741658686200763
current,67.47877581260143
current,69.5209000006002
current,12.860685673495286
current,14.902809861494056
current,66.63992698789473
current,68.68205117589349
